Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	6.2204127	1.176872	7.8785925	4.995736	81.25	27.325583	122.0	45.0	1000.0	5906.0	0.09843333333333333	0.75587267	0.40766212	1.6455725	-0.46648237	13.550739	6.9201555	31.878555	-3.5129979	-1.2159347e-08	-0.025962187	6.139278e-08	0.018232118	0.1907146	-0.12672868	95.732796	-44.186234	0	0	0.87496936	0.0	1.6689866	0.00891378	60000	74.96956372261047
15	8.02896	1.1678822	9.9614935	7.0110006	87.75	14.024532	104.0	71.0	1000.0	6257.0	0.097765625	0.7195214	0.38547334	1.7770205	-0.4362762	9.370214	3.9081206	25.698942	1.0663949	-2.8610229e-08	-0.019106943	-2.7179718e-08	-0.0038214477	0.17225595	-0.12413707	72.29814	-26.486126	0	0	0.9564881	0.0	1.6966138	0.007967838	64000	79.99100232124329
16	8.248846	1.6219673	10.4703455	6.0441256	101.75	55.872063	185.0	28.0	1000.0	6664.0	0.098	0.94542295	0.3772754	1.9302866	-0.50087065	7.1044044	4.8881145	31.275896	0.5212269	4.2915342e-09	-0.022186186	5.4359436e-08	0.012480194	0.16154376	-0.08150337	137.10008	-36.11503	0	0	0.8856079	0.0	1.6884098	0.0095848	68000	85.0124728679657
17	5.037913	3.7920964	10.960451	0.485195	100.0	54.483944	174.0	31.0	1000.0	7064.0	0.09811111111111111	0.6109316	0.5442351	1.9563226	-0.99061936	13.629348	7.8341413	35.085197	2.7125149	-2.3841857e-09	-0.022884523	-6.67572e-08	-0.025162274	0.16186634	-0.10071686	87.399956	-38.427734	0	0	0.8522076	0.0	1.6629292	0.008908627	72000	90.06342315673828
18	10.009956	1.3759761	12.023493	8.198926	84.75	59.46585	187.0	39.0	1000.0	7403.0	0.09740789473684211	0.9244724	0.49527234	2.1188867	-1.0602647	8.265256	4.8376412	30.309595	0.025673896	3.695488e-09	-0.022423714	8.2492825e-08	-0.0028405227	0.15971048	-0.10179271	71.45258	-29.569366	0	0	0.8828386	0.0	1.6688647	0.00927659	76000	95.1048014163971
19	6.235002	1.7988833	8.065393	3.4158926	84.0	48.295963	155.0	38.0	1000.0	7739.0	0.0967375	0.7397544	0.5592101	2.1392741	-1.1001087	11.652293	9.246449	37.79353	-0.014694959	3.027916e-08	-0.023029285	9.298324e-08	-0.020304535	0.12898701	-0.07616518	125.48751	-64.062355	0	0	0.83103883	0.0	1.6784031	0.009414007	80000	100.16357922554016
20	8.875984	2.1545084	11.480211	6.302393	77.5	46.11128	157.0	44.0	1000.0	8049.0	0.09582142857142857	0.9590742	0.46496776	1.8255762	-0.27762714	9.230929	6.039633	36.633835	1.7697506	5.066395e-09	-0.02183147	-1.3351441e-08	-0.0073811337	0.166072	-0.0998811	69.81759	-40.036964	0	0	0.89300483	0.0	1.6382282	0.008744303	84000	105.24176120758057
21	11.781203	2.3186524	15.500553	9.672128	78.75	29.431063	121.0	38.0	1000.0	8364.0	0.09504545454545454	0.9892872	0.43215618	1.8877605	-0.6386867	6.663754	7.148034	36.564674	-1.3722746	2.7656554e-08	-0.022774043	2.193451e-08	-0.005875262	0.17662726	-0.122953124	75.624176	-34.29284	0	0	0.8609278	0.0	1.619446	0.009096325	88000	110.29045867919922
22	10.515826	1.9767205	13.15381	7.760589	26.75	9.202581	39.0	16.0	1000.0	8471.0	0.09207608695652174	1.1465737	0.44111323	2.113879	-0.6546746	7.553846	2.714788	25.16007	4.48668	6.3180923e-09	-0.021348748	5.0544738e-08	-0.019747932	0.11358687	-0.048590824	44.658634	-27.011988	0	0	0.9081044	0.0	1.5939765	0.008663936	92000	115.36026692390442
23	10.887845	1.945247	13.791246	8.6288185	47.5	39.373215	94.0	7.0	1000.0	8661.0	0.09021875	1.0977238	0.48359036	1.9555556	-0.40030134	3.6318974	2.1148665	17.6039	0.39941278	2.1606683e-09	-0.019434206	-1.4305114e-08	-0.0011986032	0.13405903	-0.068922125	52.36507	-24.915035	0	0	0.93006754	0.0	1.5829666	0.007106327	96000	120.51975083351135
