Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	1.3242944	1.5836421	4.5849876	-1.6616029	36.857143	69.92992	309.0	0.0	1000.0	19551.0	0.04344666666666667	0.11110662	0.30942127	1.2395241	-0.71408665	3.7903755	3.7987776	37.63624	-4.6918755	3.1664968e-08	-0.003142708	6.3329935e-08	-0.008824475	0.06935179	-0.04475383	145.87837	-44.376637	1.159577	0.02093172	2.0	1.8418472	0.011376829	450000	416.6800181865692
15	0.48390296	1.3736296	3.9199917	-3.0578253	70.64286	101.81819	343.0	0.0	1000.0	21529.0	0.044852083333333334	0.08639957	0.20273907	0.9713363	-0.49664828	3.7980084	3.8157353	35.600433	-1.1403831	6.3329935e-08	-0.005673616	1.2665987e-07	-0.010638468	0.040035468	-0.021310274	236.30853	-71.01669	1.1805087	0.024107695	2.0	1.84182	0.0044996273	480000	444.55747056007385
16	1.3485466	1.1489838	3.576448	-0.5074523	18.357143	35.29287	114.0	0.0	1000.0	22043.0	0.04322156862745098	0.08148747	0.18731055	1.1289418	-0.3994663	5.6318936	4.9258704	33.687923	1.5698065	-4.0978193e-08	-0.0038604327	-8.195639e-08	-0.015640289	0.0413113	-0.02226785	81.97501	-34.697823	1.2046164	0.021121502	2.0	1.8413614	0.02424829	510000	472.43233466148376
17	1.5619653	1.8825529	5.5150495	-1.3428252	37.32143	105.75005	516.0	0.0	1000.0	23109.0	0.04279444444444445	0.13076954	0.23254947	1.382606	-0.2850298	2.3930347	1.079383	5.9913573	-0.96712565	-2.9802322e-08	-0.003503859	-5.9604645e-08	-0.022027045	0.05493557	-0.02672279	177.12605	-24.293026	1.2257379	0.021034837	2.0	1.8411288	0.03573511	540000	500.3672847747803
18	0.8986228	1.5661668	4.234409	-1.5694885	11.892858	24.30952	77.0	0.0	1000.0	23450.0	0.041140350877192984	0.113907754	0.26881373	1.3110216	-0.35211137	2.8240314	2.3441594	17.097332	-4.402021	-3.7252903e-09	-0.011566189	-7.450581e-09	-0.02078114	0.05209626	-0.02602496	24.45901	-7.206398	1.2467728	0.019006848	27.0	1.8410892	0.01275426	570000	530.2983016967773
19	1.4571002	1.662101	4.3299265	-1.8979273	34.82143	73.31685	326.0	0.0	1000.0	24425.0	0.04070833333333333	0.08941759	0.26599827	1.1989452	-0.5776238	1.5885565	2.0566576	9.323367	-1.2452757	-1.8626451e-08	-0.003460941	-3.3527613e-08	-0.009999432	0.04042083	-0.016504895	133.9675	-18.85833	1.2657796	0.017338753	2.0	1.8390915	0.0106369145	600000	558.4434821605682
20	1.192794	2.0124211	5.325006	-2.4195325	23.928572	48.124783	223.0	0.0	1000.0	25157.0	0.039931746031746033	0.13853793	0.30451575	1.2068707	-0.47819796	2.7453842	1.4808853	14.41567	2.1224842	-2.6077032e-08	-0.001686166	-4.4703484e-08	-0.0062252968	0.029843008	-0.010111392	73.13693	-4.6582727	1.2831184	0.015708566	2.0	1.8387488	0.015026206	630000	586.3761558532715
21	2.2560437	1.539664	4.7572417	-1.0238888	45.357143	70.00725	256.0	0.0	1000.0	26530.0	0.040196969696969696	0.21049838	0.3309948	1.339356	-0.67335933	2.6070325	0.6920917	5.030114	0.87815756	-4.4703484e-08	-0.0024630092	-5.9604645e-08	-0.013569411	0.04077031	-0.014194496	145.41154	-13.4190445	1.2988269	0.017158031	1.0	1.8387748	0.022378251	660000	614.182950258255
22	1.6552095	1.5877597	5.29241	-2.306693	38.857143	46.85137	168.0	0.0	1000.0	27710.0	0.04015942028985507	0.18719994	0.2711954	1.4343407	-0.49920085	4.700752	1.3999786	8.585144	2.3400898	3.7252903e-08	-0.008920293	4.4703484e-08	-0.020245137	0.043367304	-0.014019772	98.48808	-21.490746	1.315985	0.018149018	7.0	1.8388128	0.014666922	690000	642.4867186546326
23	2.5243514	2.2772558	7.720878	-1.6979063	48.714287	52.432854	202.0	0.0	1000.0	29074.0	0.04038055555555556	0.22815865	0.31884366	1.259403	-0.7881274	4.352882	3.2570107	18.755537	1.2792411	-3.7252903e-09	-0.005374413	0.0	-0.013267253	0.056886375	-0.016596437	91.441895	-23.083202	1.334134	0.019734621	3.0	1.8394091	0.013107179	720000	670.6535296440125
