Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	14.883847	3.2918363	22.635263	9.032811	76.958336	26.519613	136.0	29.0	1000.0	39640.0	0.08808888888888888	1.604132	0.5866146	2.7083428	-0.51118654	8.7141905	4.556046	29.500025	-1.2814742	-5.5879354e-09	-0.008816961	0.0	-0.002199208	0.16165543	-0.031570226	27.789429	-3.6530695	0	0	2.3375669	0.0	1.6170417	0.009542853	450000	305.78988575935364
15	15.266089	3.897178	20.442461	6.278855	78.208336	36.012707	198.0	27.0	1000.0	41999.0	0.08749791666666666	1.4992702	0.56481946	2.553445	-0.52161735	7.824443	4.239366	27.24972	-2.2073987	-6.519258e-09	-0.008148268	3.7252903e-09	-0.0005851784	0.1490398	-0.020972645	27.955112	-5.481161	0	0	2.4801435	0.0	1.5858083	0.008971641	480000	326.9601764678955
16	16.347937	3.4374537	24.658302	9.201231	74.291664	31.75227	146.0	0.0	1000.0	44134.0	0.08653725490196078	1.6315838	0.548103	2.4928615	-0.58931965	7.9386477	4.5549664	28.692266	-2.1397192	-4.656613e-09	-0.007927803	-3.9115548e-08	-0.0015488899	0.15834758	-0.020430908	25.691029	-4.6762543	0	0	2.6160903	0.0	1.5910184	0.00926881	510000	348.24667096138
17	15.98666	2.5850432	20.861948	11.297101	72.833336	30.429792	136.0	19.0	1000.0	46545.0	0.08619444444444445	1.715057	0.5644172	2.6521325	-0.2962431	7.6394677	4.3398147	26.73012	-0.75879914	0.0	-0.008243401	-1.4901161e-08	-0.00051987194	0.14872272	-0.02403084	28.633278	-6.3826075	0	0	2.4509013	0.0	1.557977	0.009451498	540000	369.61980175971985
18	15.707906	3.1728249	21.791946	10.159198	82.708336	29.249613	137.0	30.0	1000.0	49212.0	0.08633684210526316	1.6611205	0.558036	2.7407358	-0.305886	8.963413	5.2198396	30.196678	-5.215995	7.916242e-09	-0.009317328	-7.450581e-09	0.002301713	0.16542226	-0.029804498	31.183323	-7.3123655	0	0	2.251625	0.0	1.5514956	0.009302221	570000	391.1115207672119
19	16.070774	2.9748225	22.309177	12.191696	85.375	31.187355	138.0	34.0	1000.0	51726.0	0.08621	1.6984159	0.5358892	2.783606	-0.36146334	8.784475	4.8535104	30.304918	-1.1066298	-1.4901161e-08	-0.008118494	-9.313226e-09	0.001342271	0.15538949	-0.024106033	27.549143	-6.694357	0	0	2.4949224	0.0	1.523915	0.009322921	600000	412.57910799980164
20	15.8365555	4.316437	22.230894	2.1727123	90.166664	36.374973	166.0	0.0	1000.0	54338.0	0.08625079365079365	1.6860092	0.5340007	2.5336885	-0.3989741	8.661462	4.6622953	28.085114	-2.4972546	3.7252903e-09	-0.006873259	1.8626451e-08	-0.003960102	0.19783871	-0.047453184	29.954382	-7.347149	0	0	2.9040594	0.0	1.5120323	0.0094669	630000	434.0383186340332
21	16.174994	4.6263614	25.230835	0.9775888	86.916664	41.39033	185.0	29.0	1000.0	56846.0	0.08613030303030303	1.7245632	0.5713963	2.765192	-0.32597825	9.293454	4.9336853	28.060463	-1.1839527	-1.1175871e-08	-0.010087169	-3.7252903e-08	-0.00043966272	0.22747627	-0.04722604	32.588585	-8.2593	0	0	1.9843217	0.0	1.4877274	0.009434896	660000	455.5684144496918
22	17.146624	2.973145	23.246231	11.97011	90.291664	31.614183	185.0	25.0	1000.0	59429.0	0.08612898550724638	1.7569548	0.55780965	2.687923	-0.6712525	8.617724	4.7343006	30.102009	-0.82868296	-1.8626451e-09	-0.0085267555	1.4901161e-08	0.00082244386	0.165077	-0.031876095	24.564886	-5.3393836	0	0	2.2657435	0.0	1.4597081	0.00967594	690000	477.06434082984924
23	17.249887	2.718366	24.683002	11.408764	72.458336	26.767487	129.0	24.0	1000.0	61702.0	0.08569722222222222	1.8171759	0.52898514	2.7021573	-0.24994072	8.681277	4.371579	29.621538	-2.040873	1.3038516e-08	-0.009200827	-2.9802322e-08	0.0012080363	0.15912595	-0.021645091	25.761381	-7.1098824	0	0	2.1674826	0.0	1.4305313	0.009177741	720000	498.56770753860474
