Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
13	0.4178766	1.2449106	3.1408534	-1.2450403	23.833334	44.62666	149.0	0.0	1000.0	14939.0	0.03556904761904762	0.05599865	0.19026655	1.2099475	-0.49834335	5.7884574	5.8201222	20.753788	-5.3874	2.512525e-08	-0.018203288	5.2897136e-08	-0.029753039	0.03429423	-0.014124442	94.23652	-42.427277	0.9779585	0.01745361	1.1061028	0.0	1.8000859	0.009434339	420000	1212.6987555027008
14	1.1703387	1.403915	4.306607	-1.3798674	33.166668	76.65946	302.0	0.0	1000.0	15934.0	0.035408888888888886	0.05921805	0.16916388	1.0361754	-0.39983714	3.506365	4.118755	19.139603	1.777851	-7.638746e-08	-0.016678635	-1.4648438e-07	-0.028375715	0.041086733	-0.022291351	154.38213	-33.13961	0.9954121	0.01724577	1.2155671	0.0	1.8006432	0.00919688	450000	1298.5896425247192
15	0.40006903	1.504347	4.1148443	-3.0513976	33.433334	73.1768	261.0	0.0	1000.0	16937.0	0.035285416666666666	0.07615485	0.18785079	1.2552584	-0.49443632	3.5892622	2.5211885	21.567596	2.8125267	2.0421824e-08	-0.018773543	3.2552084e-08	-0.029754158	0.03416665	-0.019446164	166.80153	-5.5424805	1.0126579	0.017131567	1.014811	0.0	1.7907145	0.008567629	480000	1397.0292506217957
16	1.349001	1.3865324	5.2298074	-0.121600285	33.366665	57.41747	189.0	0.0	1000.0	17938.0	0.03517254901960784	0.10906963	0.19995351	1.1122978	-0.3133483	3.6554365	0.36475804	10.918515	3.1492178	-1.6156607e-08	-0.018064022	-8.138021e-09	-0.025819004	0.030309293	-0.01198595	109.91074	-0.41427612	1.0297894	0.01704967	1.1208478	0.0	1.7808452	0.00928205	510000	1485.0240807533264
17	1.8341138	2.4210773	8.856776	-0.7709888	49.6	114.410255	555.0	0.0	1000.0	19426.0	0.035974074074074075	0.14824218	0.25034127	1.4857749	-0.21424903	3.6324425	0.006283882	3.9257455	3.463621	3.3160347e-07	-0.019946873	6.347656e-07	-0.032617316	0.036076292	-0.015634691	224.15408	-2.5251312	1.0468391	0.019240856	0.9753631	0.0	1.7717907	0.008744904	540000	1584.4384129047394
18	2.1935122	2.1683693	8.50426	-0.46636358	58.566666	109.86437	512.0	0.0	1000.0	21183.0	0.03716315789473684	0.17509939	0.2955631	1.504919	-0.18998967	5.239343	0.010741631	5.8907547	5.110861	3.9223013e-07	-0.020322107	7.486979e-07	-0.036608107	0.031691372	-0.0131135415	222.42847	-31.067154	1.06608	0.022120953	0.9553332	0.0	1.7477908	0.009054471	570000	1678.2976438999176
19	2.6870058	2.187636	7.1437187	-0.33576122	35.166668	56.26549	234.0	0.0	1000.0	22238.0	0.03706333333333333	0.23184791	0.31961495	1.576808	-0.2691629	6.166029	3.3050296	30.42208	0.5177636	3.6219316e-08	-0.020752782	7.324219e-08	-0.03327146	0.04996846	-0.017139819	121.34652	-27.015694	1.0882009	0.021912456	0.93029606	0.0	1.7176152	0.009184151	600000	1778.0514607429504
20	2.4522164	2.5806932	9.609971	-0.27166423	54.533333	111.12507	412.0	0.0	1000.0	23874.0	0.03789523809523809	0.1970898	0.33671573	1.7297575	-0.3008374	4.777494	4.6958265	36.74674	-8.737542	7.417172e-08	-0.02717983	1.4648438e-07	-0.046702586	0.0389205	-0.019062126	221.81563	-132.27469	1.1101134	0.024145246	0.7423279	0.0	1.6707494	0.009032174	630000	1876.8403491973877
21	3.2733188	2.9004614	8.702426	-1.2008723	60.8	82.29719	330.0	0.0	1000.0	25698.0	0.03893636363636364	0.30151242	0.35560143	1.7167151	-0.22465518	4.3427033	7.4918075	45.857563	-3.4224212	7.7673015e-09	-0.027880048	3.2552084e-08	-0.04953415	0.06707101	-0.030275024	215.46844	-67.41736	1.1342586	0.026699781	0.73708415	0.0	1.6653961	0.009453295	660000	1972.8554329872131
22	3.9843576	3.3259513	10.496185	-0.1049925	28.233334	49.392094	171.0	0.0	1000.0	26545.0	0.03847101449275362	0.32871667	0.39356986	1.720253	-0.3792875	6.4465437	5.245763	48.02867	3.6294825	-3.7659316e-09	-0.022973089	0.0	-0.03785832	0.067438915	-0.024311014	111.738686	-34.69272	1.1609584	0.025107622	0.8535435	0.0	1.689285	0.009151523	690000	2069.942185640335
23	3.301017	2.2677472	8.424776	-0.43260846	69.36667	98.772964	495.0	0.0	1000.0	28626.0	0.03975833333333333	0.3740803	0.3872689	2.0863543	-0.18589085	3.2473402	0.03162776	4.148476	3.244373	4.1457682e-07	-0.023264922	7.6497395e-07	-0.040529303	0.054475788	-0.02176689	224.1249	-17.844696	1.186066	0.028301954	0.8354543	0.0	1.66577	0.009600252	720000	2169.2972180843353
24	2.1992676	2.4467547	8.272776	-0.32247883	32.4	61.297962	266.0	0.0	1000.0	29598.0	0.039464	0.20069559	0.33828464	1.6890543	-0.44256485	6.8056507	0.40030906	9.813114	6.5724335	1.4635978e-08	-0.018039122	3.2552084e-08	-0.028378848	0.036366135	-0.015367262	106.834274	-10.630928	1.214368	0.027190328	1.0459297	0.0	1.6494915	0.00860938	750000	2268.5921182632446
25	4.719851	3.000027	9.099988	-0.13713263	41.866665	98.01657	529.0	0.0	1000.0	30854.0	0.039556410256410254	0.40187517	0.41765162	1.7440267	-0.34704453	4.1522546	0.61858326	5.2652617	3.298457	-5.384483e-09	-0.019602522	-1.6276042e-08	-0.031536654	0.082887776	-0.032392528	171.30688	-3.0537567	1.2415583	0.02747655	1.0236366	0.0	1.630911	0.008824994	780000	2366.617319583893
