Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
15	11.379612	0.54244155	12.055303	10.749964	76.0	18.533752	101.0	49.0	1000.0	5111.0	0.079859375	1.2101897	0.4698426	2.6436074	-0.17434205	7.449713	5.5307727	28.956324	-3.6636195	-6.437302e-09	-0.034000345	-3.1471252e-08	0.006166445	0.09174986	-0.059417147	38.42665	-13.174049	0	0	75.0	1.4563515	0.01220636	64000	89.50261664390564
16	11.0976	1.0888693	12.164917	9.614063	59.5	45.345894	124.0	0.0	1000.0	5349.0	0.07866176470588235	1.232666	0.5827718	2.3040524	-0.5603198	6.7560196	4.999855	26.79064	-4.4110622	3.0994416e-09	-0.033806782	-6.270409e-08	-0.012544862	0.1435057	-0.10336671	48.891945	-15.901081	0	0	78.0	1.4298396	0.012285585	68000	95.0690016746521
17	12.352868	2.4790545	15.222125	8.547593	94.25	35.75874	123.0	34.0	1000.0	5726.0	0.07952777777777778	1.2672933	0.41461512	2.0217183	-0.31711283	5.395082	4.7976646	26.571583	-1.9387119	-1.2993812e-08	-0.02938508	3.528595e-08	-0.019604921	0.17551373	-0.117670804	76.040825	-41.605377	0	0	65.0	1.393539	0.011677643	72000	100.54390549659729
18	13.484616	2.939591	16.39655	8.633481	59.25	30.638008	106.0	23.0	1000.0	5963.0	0.07846052631578948	1.3152407	0.49215057	2.1945338	-0.87402546	8.512102	5.760686	31.953867	0.1620599	1.1920929e-09	-0.029946199	-3.051758e-08	-0.014699987	0.15558016	-0.09063835	45.654804	-19.5103	0	0	51.0	1.3560143	0.011806511	76000	106.31926655769348
19	12.339963	0.977444	13.85157	11.341351	44.5	16.194136	70.0	26.0	1000.0	6141.0	0.0767625	1.3607496	0.5254266	2.4229279	-0.4835106	5.5014777	3.3770068	24.537193	1.2385201	-2.348423e-08	-0.03057255	-3.3378602e-09	-0.005680995	0.123656064	-0.07863274	31.768663	-8.559263	0	0	47.0	1.3096169	0.011755896	80000	111.91008234024048
20	14.707208	2.6980212	17.244486	10.199763	73.25	34.622066	113.0	28.0	1000.0	6434.0	0.07659523809523809	1.4125943	0.36953965	2.1632068	0.06532704	5.7890034	3.7128806	26.588717	1.459344	3.004074e-08	-0.029166965	1.7166137e-08	-0.007731268	0.13632351	-0.0711349	48.2575	-19.099491	0	0	43.0	1.2769907	0.011355997	84000	117.06860375404358
21	12.339544	2.580492	14.867514	8.867649	82.75	21.992897	113.0	58.0	1000.0	6765.0	0.076875	1.2671118	0.4388233	2.2376974	-0.2301981	7.0231895	3.8378892	29.488255	1.7321606	6.7353247e-09	-0.0062372857	-2.6226044e-08	-0.010586361	0.15266027	-0.11086348	33.82589	-8.117752	0	0	2.0	1.2515469	0.0056942264	88000	122.08746528625488
22	13.320196	2.0399754	16.494122	10.873327	58.0	33.852623	92.0	8.0	1000.0	6997.0	0.07605434782608696	1.3079755	0.52904814	2.4546509	-0.54752755	7.5197787	3.2843792	28.020098	1.9538454	8.940697e-09	-0.034262862	5.2452087e-08	0.03476027	0.11549312	-0.061801802	38.903522	-12.097591	0	0	62.0	1.2497985	0.012015856	92000	127.39886617660522
23	14.809304	1.5798869	17.13135	12.916088	87.75	33.214268	130.0	45.0	1000.0	7348.0	0.07654166666666666	1.4024158	0.48709568	2.4261465	-0.3291087	8.344134	6.123937	31.095581	-0.07900706	-3.5762786e-09	-0.033117924	1.206398e-07	-0.0270955	0.15688233	-0.11111404	63.823826	-32.400055	0	0	72.0	1.1985301	0.012129023	96000	132.897474527359
24	15.006154	0.75452125	15.720208	13.737077	54.75	17.483921	76.0	37.0	1000.0	7567.0	0.07567	1.5501812	0.46170563	2.2843187	-0.11729701	8.120083	3.8729026	27.678026	-1.8737962	-1.2755394e-08	-0.029273475	-6.67572e-08	0.020497896	0.13626121	-0.06764628	51.133224	-29.410353	0	0	57.0	1.154494	0.012052713	100000	138.28011178970337
25	14.939827	3.4558823	16.996082	8.954629	66.5	26.762848	92.0	25.0	1000.0	7833.0	0.0753173076923077	1.5482017	0.44547293	2.3721273	-0.03467461	6.9821577	6.401681	29.600737	-0.9043033	-1.847744e-08	-0.028417956	6.4611434e-08	0.0043837954	0.21418165	-0.13806304	63.83388	-27.087585	0	0	45.0	1.1052068	0.012081159	104000	143.97913479804993
26	13.651463	3.408443	18.192522	8.711805	102.5	25.74393	137.0	69.0	1000.0	8243.0	0.07632407407407407	1.4965522	0.5852471	2.797361	-0.3939659	9.699474	6.99412	29.692411	-4.4012537	8.3446505e-10	-0.03293092	-2.6702882e-08	0.01757037	0.2026011	-0.117874816	57.00313	-21.734787	0	0	52.0	1.0754664	0.0120418975	108000	149.6441192626953
27	14.321302	3.0452893	17.323122	9.466499	53.0	28.0	81.0	25.0	1000.0	8455.0	0.07549107142857144	1.4539084	0.6973143	2.4926057	-0.86190647	7.9114647	4.712431	30.905293	-2.6986198	1.1980534e-08	-0.00523566	-2.9087067e-08	0.0068847826	0.18065535	-0.11883786	39.106464	-15.198544	0	0	2.0	1.0670702	0.0034759394	112000	154.96593236923218
28	14.511148	0.9394999	15.577056	13.34036	63.25	45.367252	121.0	0.0	1000.0	8708.0	0.07506896551724138	1.457078	0.5303051	2.6095717	-0.17486963	6.694537	4.2051387	23.903461	0.7375863	-4.768372e-10	-0.033555973	-9.536744e-10	-0.01210334	0.114166446	-0.060387738	37.350857	-15.033756	0	0	69.0	1.0664665	0.011823026	116000	160.2718150615692
29	15.043481	2.2711513	18.255238	12.761275	74.25	42.944004	136.0	23.0	1000.0	9005.0	0.07504166666666667	1.6073331	0.422672	2.374707	0.30312425	6.6153193	5.3013434	30.225498	-2.6362739	7.629395e-09	-0.030138336	6.437302e-08	-0.019143337	0.07489679	-0.034130827	43.836983	-12.486046	0	0	58.0	1.0428813	0.012236984	120000	165.55566501617432
30	14.418246	1.0052933	15.166016	12.689142	68.0	22.293497	91.0	41.0	1000.0	9277.0	0.07481451612903225	1.5354267	0.50335765	2.1785717	-0.007927202	6.9928017	6.1973553	31.130613	-4.130858	1.7642975e-08	-0.031898748	1.7166137e-08	-0.002888549	0.08144526	-0.052041724	43.182446	-17.228794	0	0	58.0	1.0196321	0.011744628	124000	171.11121368408203
31	14.928281	1.3416623	16.565535	13.15558	47.0	15.732133	60.0	21.0	1000.0	9465.0	0.0739453125	1.460275	0.45618385	2.249507	0.063238315	6.5022097	4.2674923	25.932617	-2.962281	4.6491624e-09	-0.030005485	-4.4465065e-08	0.037455235	0.11533897	-0.06329653	43.076744	-19.50158	0	0	65.0	0.98119706	0.012124258	128000	176.87693047523499
